neighbourhood,neighbourhood_group,Area,Type,Latitude,Longitude,Bath_s_,Bedroom_s_,Rent
E-7, Islamabad,44,House,33.7253134,73.04544231,6,8,1900
E-7, Islamabad,44,House,33.7253134,73.04544231,6,8,1700
E-7, Islamabad,44,House,33.7253134,73.04544231,6,7,1200
E-7, Islamabad,40,House,33.7253134,73.04544231,6,5,955
E-7, Islamabad,44,House,33.7253134,73.04544231,5,5,850
E-7, Islamabad,40,House,33.7253134,73.04544231,5,4,850
F-6, Islamabad,48,House,33.7286213,73.0735239,6,8,1950
F-6, Islamabad,80,House,33.7286213,73.0735239,8,7,2000
F-6, Islamabad,40,House,33.7286213,73.0735239,7,6,1035
F-6, Islamabad,40,House,33.7286213,73.0735239,6,6,780
F-6, Islamabad,20,House,33.7286213,73.0735239,5,5,740
F-6, Islamabad,40,House,33.7286213,73.0735239,6,5,600
F-6, Islamabad,24,House,33.7286213,73.0735239,6,5,600
F-6, Islamabad,20,House,33.7286213,73.0735239,5,4,730
F-6, Islamabad,20,House,33.7286213,73.0735239,3,3,400
F-7, Islamabad,26,House,33.7204333,73.0561174,6,7,1500
F-8, Islamabad,40,House,33.7115043,73.0396002,6,8,1600
F-8, Islamabad,40,House,33.7115043,73.0396002,6,7,1700
F-8, Islamabad,40,House,33.7115043,73.0396002,6,6,1550
F-8, Islamabad,48,House,33.7115043,73.0396002,5,6,830
F-8, Islamabad,20,House,33.7115043,73.0396002,5,6,680
F-8, Islamabad,20,House,33.7115043,73.0396002,6,5,1000
F-8, Islamabad,36,House,33.7115043,73.0396002,6,5,820
G-6, Islamabad,40,House,33.7154283,73.0856414,6,5,975
G-6, Islamabad,20,House,33.7154283,73.0856414,6,5,450
G-6, Islamabad,20,House,33.7154283,73.0856414,5,5,375
G-6, Islamabad,12,House,33.7154283,73.0856414,5,5,350
G-6, Islamabad,10,House,33.7154283,73.0856414,5,5,350
G-6, Islamabad,10,House,33.7154283,73.0856414,5,5,300
G-9, Islamabad,10,House,33.6914356,73.0307196,5,10,350
